Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Skipped  Open_UsernameAndPasswordIsNullAndUserContextHasAccess_Succeeds
Skipped  Open_UsernameAndPasswordIsEmptyAndUserContextHasAccess_Succeeds
Skipped  Search_FilterWithExplicitObjectCategory_FindAllMatches
Passed   get_SearchResultItemByIndex_NotOpened_Fails
Passed   get_SearchResultItemByIndex_IndexInRange_ItemReturned
Passed   get_SearchResultItemCount_NotOpened_Fails
Passed   get_SearchResultItemCount_Opened_ReturnsZero
Passed   get_SearchResultItemCount_SearchShouldFindNoItems_RetursnZero
Passed   get_SearchResultItemCount_SearchShouldFindOneItem_ReturnsOne
Passed   get_SearchResultItemCount_SearchShouldFindThirtyItems_ReturnsThirty
Passed   get_SearchResultItemList_NotOpened_Fails
Passed   get_SearchResultItemList_Opened_ReturnsEmptyList
Passed   get_SearchResultItemList_SearchYieldNoResult_ReturnsEmptyList
Passed   get_SearchResultItemList_SearchFind30Items_ReturnsListWith30Items
Passed   Open_PathIsNotAValidLDAPPath_Fails
Passed   Open_PathDoesNotExists_Fails
Passed   Open_UsernameAndPasswordIsNullAndUserContextDoesNotHaveAccess_Fails
Passed   Open_UsernameAndPasswordIsEmptyStringAndUserContextDoesNotHaveAccess_Fails
Passed   Open_PasswordIsNull_Fails
Passed   Open_PasswordIsIncorrect_Fails
Passed   Open_PathAndCredentialsAreValid_Succeeds
Passed   Open_SearchScopeValueIs3_Fails
Passed   Open_SearchScopeValueIsNegative_Fails
Passed   Search_SearcherIsNotOpened_Fails
Passed   Search_SearchFilterIsEmpty_Fails
Passed   Search_SearchFilterIsNull_Fails
Passed   Search_SearchFilterIsInvalidLDAPFilter_Fails
Passed   Search_SearchFilterHasObjectClassThatNotExist_Succeeds
Passed   Search_FilterUserWithAnyCommonName_AllUsersInOuAreFound
Passed   Search_FilterWithPresetOperator_FinsAllUsersMatchingPreset
Passed   Search_FilterEndingOfCommonName_FindsAllUsersWithEnding
Passed   Search_SearchScopeIsBase_OnlyFindsMatchesInBase
Passed   Search_SearchScopeIsOneLevel_OnlyFindsMatchesInFirstLevel
Passed   Search_SearchScopeIsSubTree_OnlyFindsMatchesOnAllLevels
Passed   Search_FilteringWithThreeAttributes_FoundItemsMatchAllAttributes
Passed   Search_OUWithGroupsAndFilteringGroups_FindsAllMatchingGroups
Passed   Search_FilterGroupsSpecificCommonName_FindsAllGroupsWithMatchingFilter
Passed   Search_FilterUsersDirectMemberOfGroup_FindsAllDirectMembers
Passed   Search_FilterUsersThatMemberOfGroupByHiearchy_FindsAllMembers
Passed   Search_FilterWithOR_FindMatchingUsers
Passed   Search_FilterWithNOT_FindMatchingUsers
Passed   Search_FilterWithAND_FindMatchingUsers
Passed   Search_FilterWithLess_FindMatchingUsers
Passed   Search_FilterWithGreater_FindMatchingUsers
Passed   Search_FilterWithApproximate_FindsOnlyExactMatchingUsers
Passed   Search_FilterWithEscapedCharacters_FindAllMatchingUsers
