Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Warning: UTA005: Illegal use of attributes on IntgTests.iCore.Components.Core.Wsmq.WsmqTestBase.TestInitialize.The TestInitializeAttribute can be defined only inside a class marked with the TestClass attribute.

Warning: UTA006: Illegal use of attributes on IntgTests.iCore.Components.Core.Wsmq.WsmqTestBase.TestCleanup. The TestCleanupAttribute can be defined only inside a class marked with the TestClass attribute.

Skipped  Open_DefaultValuesFileExistsUNCPath_NoError
Skipped  Open_DefaultValuesFileExistsUNCPath_NoError
Skipped  UTF8_CRLF_LargeFile_ComparePerformance
Skipped  UTF8_CRLF_SmallFile_ComparePerformance
Skipped  Infile_ManagedUnmanagedExecutionTimeTests
Skipped  Write_OneWriteWith1MBString_ManagedFaster
Skipped  Write_OneMillionWritesWithOneCharString_ManagedFaster
Skipped  Write_OneMillionWritesWithOneCharStringPreallocated3MB_ManagedFaster
Skipped  SendMessageToQueue_HandleInvalid_Fails
Skipped  SendMessageToQueue_PreviousSendReturnedHandleMaybeInvalidAndQueueIsReopened_Succeeds
Skipped  MakeRecordValue_RecordWithLongElementsContainingManySpecialCharacters_Success
Skipped  MakeRecordValue_RecordWithLongElementsWithoutSpecialCharacters_Success
Skipped  Read_Test1_Success
Skipped  Read_TestNoGroupOneRecordTypeShortRecordWithNoCallback_Success
Skipped  Read_TestNoGroupOneRecordTypeShortRecordWithCallback_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordElementsOnlyWithFixedLength_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordElementsOnlyWithFixedLengthNoCallbacks_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordElementsOnlyWithVariableLength_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordCompositesOnlyShortComposite_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordCompositesOnlyLongCompositesWithFixedElemLength_Success
Skipped  Read_TestNoGroupOneRecordTypeLongRecordCompositesOnlyLongCompositesWithVariableElemLength__Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleAlways_Success
Skipped  Read_TesNoGroupOneRecordTypeMatchStyleStandard_Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleStandardInverted_Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleRegExOnId_Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleRegExOnIdInverted_Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleRegExOnRec_Success
Skipped  Read_TestNoGroupOneRecordTypeMatchStyleRegExOnRecInverted_Success
Skipped  Read_TestNoGroupManyRecordTypesAllTypesInData_Success
Skipped  Read_TestNoGroupManyRecordTypesOneTypeInData_Success
Skipped  Read_TestNoGroupOneRecordTypeManyVirtualRecords_Success
Skipped  Read_TestGroupsNestedManyRecordRecordsAreLongWithCallback_Success
Skipped  Read_TestGroupsNestedManyRecordRecordsAreLongNoCallback_Success
Skipped  Read_RecordWithCompositesAndElementsMultiCharSeparators_Success
