Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   BuildiCoreComponent_ErrActionIsContinueAndCompileError_SuccessAndFailureReportedInResult
Passed   BuildiCoreComponent_ErrActionIsStopAndCompileError_Throws
Passed   BuildiCoreComponent_CancelIsCalledErroractionIsStop_CompileIsCancelled
Passed   BuildiCoreComponent_InformationMessageWritten_MessageRecivedByHost
Passed   BuildiCoreComponent_WarningMessageWritten_MessageRecivedByHost
Passed   BuildiCoreComponent_ErrorMessageWritten_MessageRecivedByHost
Passed   BuildiCoreComponent_AllIsSet_Success
Passed   BuildiCoreComponent_NameIsSet_Success
Passed   BuildiCoreComponent_IdIsMissing_Throws
Passed   BuildiCoreComponent_UsernameIsMissing_Throws
Passed   BuildiCoreComponent_PasswordIsMissing_Throws
Passed   BuildiCoreComponent_AllOrNameIsMissing_Throws
Passed   GetEntity_User_ReturnsPublicType
Passed   GetEntity_Server_ReturnsPublicType
Passed   GetEntity_UserGroup_ReturnsPublicType
Passed   GetEntityTypeCommand_NoArgument_ReturnsExportable
Passed   GetEntityTypeCommand_ExportableArgument_ReturnsExportable
Passed   GetEntityTypeCommand_CrudableArgument_ReturnsCrudable
Passed   GetEntityTypeCommand_AllArgument_ReturnsAll
Passed   GetEntityTypeCommand_CrudableAndExportableArgument_ReturnsCrudableAndExportable
Passed   GetEntityTypeCommand_AllArgument_NoDuplicatesReturned
Passed   GetExportableEntity_DefaultParamaters_CorrectNumberOfEntities
Passed   GetExportableEntity_DefaultParamaters_EntityInfoReturnType
Passed   GetExportableEntity_ReturnEntitySet_IEntityReturnType
Passed   NewEntity_Server_Success
Passed   NewEntity_User_Success
Passed   NewEntity_UnsupportedEntity_ThrowsArgumentException
Passed   NewEntity_EnityTypeNotProvided_ThrowsException
Passed   NewEntity_InvalidEnityType_ThrowsException
Passed   Remove_DeleteServer_Success
Passed   Remove_DeleteUser_Success
Passed   Remove_DeleteNewUser_ThrowsArgumentException
Passed   Remove_UserDataIsReplaced_ThrowsArgumentException
Passed   Remove_WhatIf_NothingRemoved
Passed   Remove_UnsupportedEntity_ThrowsArgumentException
Passed   SaveEntity_UpdateServer_Success
Passed   SaveEntity_AddServer_Success
Passed   SaveEntity_UpdateUser_Success
Passed   SaveEntity_AddUser_Success
Passed   SaveEntity_UnsupportedEntity_ThrowsArgumentException
Passed   SaveEntity_EnityTypeNotProvided_ThrowsException
Passed   SaveEntity_UpdateUserDataIsReplaced_ThrowsArgumentException
Passed   SaveEntity_AddUserDataIsReplaced_ThrowsArgumentException
Passed   ActivateLicenseCommand_CallsSendActivationRequestAsync_Success
Passed   ActivateLicenseCommand_Timeout_ThrowsException
Passed   ReactivateLicenseCommand_UsesStoredSerialNumber_Success
Passed   ReactivateLicenseCommand_UsesStoredSerialNumberAndAllowWorkgroupOverride_Success
Passed   ActivateLicenseCommand_ActivationFailed_ThrowsException
Passed   AllServicesInServiceLocatorAreSerializable
Passed   StopiCoreSystem_Shutdown_SuccessAndSoftStopIssued
Passed   StopiCoreSystem_SoftShutdown_SuccessAndSoftStopIssued
Passed   StopiCoreSystem_ForcedSet_SuccessAndForcedStopIssued
Passed   StopiCoreSystem_ServerFailsToStopAndErrorActionIsStop_Throws
Passed   StopiCoreSystem_FirstServerFailsToStopAndErrorActionIsContinue_Throws
Passed   StopiCoreSystem_IdIsMissing_Throws
Passed   StopiCoreSystem_UsernameIsMissing_Throws
Passed   StopiCoreSystem_PasswordIsMissing_Throws
Results File: F:\ETWork\Main\TestResults\bacemi_ICSWS068 2016-08-04 09_48_58.trx

Total tests: 57. Passed: 57. Failed: 0. Skipped: 0.
Test Run Successful.
Test execution time: 14,1070 Seconds
