Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   Constructor_NoArgs_Test
Passed   Execute_ContextIsNull_Throws
Passed   Execute_SystemCommunicationPropertyOfContextIsNull_Throws
Passed   Execute_ConfigurationIsNull_Throws
Passed   Execute_ExtensionIsNull_Throws
Passed   Execute_SystemShutdownCalled_ExecuteReturns
Passed   Execute_SystemShutdownCalled_IsSystemShutdownInProgressIsTrue
Passed   Execute_NoHostsLoadedSystemShutdownCalled_OnCompletedEventRaised
Passed   Execute_SingleHostSystemShutdownCalled_WaitsOnRunningHostBeforeClosedCorrectly
Passed   ExecuteJobRequest_CorrectWFSentToHost
Passed   ExecuteJobRequest_V2ArgumentsInWF_CorrectArgumentsSentToHost
Passed   ExecuteJobRequest_ComponentIsScriptOrAF_CorrectWFIsSentToHost
Passed   ExecuteJobRequest_ComponentIsScriptOrAF_CorrectArgumentsSentToHost
Passed   ExecuteJobRequest_NonExistingWorkflow_ReportsFailure
Passed   Constructor_ValidArgsAllSet_Success
Passed   Constructor_ValidArgsNameNotSet_Success
Passed   Constructor_ValidArgsnameNotSet_Success
Passed   Constructor_WorkflowNotSet_Throw
Passed   Constructor_ExtensionsNotSet_Success
Passed   Constructor_ValidArgs_hostNameIsCorrect
Passed   Constructor_ValidArgs_StateIsCreated
Passed   StartWorkflowInstance_ValidArgsHostNotOpened_Throws
Passed   StartWorkflowInstance_ValidArgs_EventAllWorkflowsClosedInvoked
Passed   StartWorkflowInstance_OneInstanceValidArgsGuidSupplied_EventAllWorkflowsClosedInvoked
Passed   StartWorkflowInstance_ThreeInstancesValidArgsGuidSupplied_EventAllWorkflowsClosedInvoked
Passed   StartWorkflowInstance_ValidArgsGuidSupplied_ReportsCompletedOK
Passed   StartWorkflowInstance_InArgumentMissing_Throws
Passed   StartWorkflowInstance_ExtraInArgumentSupplied_Throws
Passed   StartWorkflowInstance_ActivityExecutionThrows_ErrorIsReported
Passed   StartWorkflowInstance_ActivityThrowsInCacheMetaData_Throws
Passed   StartWorkflowInstance_ActivityThrowsInBookmarkResume_ErrorIsReported
Passed   StartWorkflowInstance_ActivityThrowsInCanInduceIdle_ErrorIsReported
Passed   StartWorkflowInstance_CanInduceIdleIsFalseAndCreateBookmark_ReportsError
Passed   StartWorkflowInstance_RequiredExtensionIsMissing_ErrorIsReported
Passed   StartWorkflowInstance_ExecutionOK_ReturnsExpectedResult
Passed   StopWorkflows_ActivityThrowsInCancel_ErrorIsReported
Passed   ShutDownScenario_WorkflowsIdle_WorkflowsCompleteAnd
Passed   RequestAndResponseThroughNotificationListenerAreSendCorrectly
Passed   WaitForConnection_CloseIsCalled_ThrowsIOException
Passed   BeginWaitForConnection_CloseIsCalled_EndWaitForConnectionThrowsIOException
Passed   BeginWaitForConnection_CloseIsCalled_AsyncCallbackIsCalled
Passed   BeginWaitForConnection_CloseIsCalled_AsyncCallbackIsCalledWithCorrectState
Passed   WaitForConnection_ConnectionArrives_ReturnsChannel
