Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Failed   Login_AutoSetupOffice365_Success

Passed   Login_AutoSetupMicrosoftLive_Success
Passed   Login_AutoSetupGmail_Success
Passed   Login_AutoSetupGmailAndWrongPassword_ThrowsSmtpException
Passed   Open_AutoSetupUnknownConfiguration_Fail
Passed   DefaultConstructor_NoArgs_Success
Passed   GetSystemDate_FormatIsEmpty_Throws
Passed   GetSystemDate_FormatIsNull_Throws
Passed   GetSystemDate_ValidFormat_ExpectedDateReturned
Passed   GetSystemDate_CustomFormatSecondsOnly_ExpectedDateReturned
Passed   AddDate_SourceFormatIsEmpty_Throws
Passed   AddDate_SourceFormatIsNull_Throws
Passed   AddDate_SourceDateIsEmpty_Throws
Passed   AddDate_SourceDateIsNull_Throws
Passed   AddDate_DestinationFormatIsEmpty_ResultHasSourceFormat
Passed   AddDate_DestinationFormatIsNull_ResultHasSourceFormat
Passed   AddDate_AddZeroSecondsSourceAndDestinationFormatSame_ExpectedDateReturned
Passed   AddDate_AddFiveSecondsSourceAndDestinationFormatSame_ExpectedDateReturned
Passed   AddDate_AddMinusTwoSecondsSourceAndDestinationFormatSame_ExpectedDateReturned
Passed   ConvertDate_SourceAndDestinationFormatSame_ExpectedDateReturned
Passed   ConvertDate_SourceAndDestinationFormatNotSame_ExpectedDateReturned
Passed   ConvertDate_SourceFormatIsEmpty_Throws
Passed   ConvertDate_SourceFormatIsNull_Throws
Passed   ConvertDate_SourceDateIsEmpty_Throws
Passed   ConvertDate_SourceDateIsNull_Throws
Passed   ConvertDate_DestinationFormatIsEmpty_Throws
Passed   ConvertDate_DestinationFormatIsNull_Throws
Failed   Login_AutoSetupOffice365_Success

Passed   Login_AutoSetupMicrosoftLive_Success
Passed   Login_AutoSetupGmail_Success
Passed   Login_AutoSetupGmailAndWrongPassword_ThrowsPop3Exception
Passed   Login_AutoSetupUnknownConfiguration_Fail
Passed   GetWellKnownServerConfigurationFromServerAddress_NoAuto_RetunsNull
Passed   GetWellKnownServerConfigurationFromServerAddress_IsOffice365_RetunsCorrectConfigurationType
Passed   GetWellKnownServerConfigurationFromServerAddress_IsOffice365_ConfigurationContainsPOP3
Passed   GetWellKnownServerConfigurationFromServerAddress_IsOffice365_ConfigurationContainsIMAP4
Passed   GetWellKnownServerConfigurationFromServerAddress_IsOffice365_ConfigurationContainsSMTP
Passed   GetWellKnownServerConfigurationFromServerAddress_IsMicrosoftLive_RetunsCorrectConfigurationType
Passed   GetWellKnownServerConfigurationFromServerAddress_IsMicrosoftLive_ConfigurationContainsPOP3
Passed   GetWellKnownServerConfigurationFromServerAddress_IsMicrosoftLive_ConfigurationContainsIMAP4
Passed   GetWellKnownServerConfigurationFromServerAddress_IsMicrosoftLive_ConfigurationContainsSMTP
Passed   GetWellKnownServerConfigurationFromServerAddress_IsAutoButUnknownServer_Throws
Passed   MakeAutoConfigAddress_KnownServer_Succeeds
Passed   WellKnownMailServerNames_ListsCorrectNumberOfServerNames
Passed   TryGetServerConfigurationFromServerAddressAndProtocol_IsOffice365andPOP3_RetunsCorrectConfigurationType
Passed   TryGetServerConfigurationFromServerAddressAndProtocol_IsOffice365andSMTP_RetunsCorrectConfigurationType
Results File: F:\ETWork\Main\TestResults\bacemi_ICSWS068 2016-08-04 09_51_51.trx

Total tests: 46. Passed: 44. Failed: 2. Skipped: 0.
Test execution time: 23,6688 Seconds
