Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   GetCurrentSessionInfo_NoRecordExists_ReturnsNull
Passed   SetCurrentSession_NoRecordExists_Succeeds
Passed   SetCurrentSession_PreviousRecordExists_Succeeds
Passed   TrySetSystemStartedEventCreated_NoEntryExists_ReturnsFalse
Passed   TrySetSystemStartedEventCreated_PreviousEntryWithDifferentSessionIdExists_NoSystemStartedEventCreated_ReturnsFalse
Passed   TrySetSystemStartedEventCreated_PreviousEntryWithSameSessionIdExistsAndNoSystemStartedEventCreated_ReturnsTrue
Passed   TrySetSystemStartedEventCreated_PreviousEntryWithSameSessionIdExistsAndSystemStartedEventPreviouslyCreated_ReturnsTrue
Passed   GetOrCreateSessionEvent_MultipleRunConcurrentlyWithFirstOneMaintainingOwnershipForEventGenerator_OnlySingleSessionEventIsCreated
Passed   WaitForUpdateOrExpiration_RecordDoesNotExist_WaitsUntilRecordIsCreated_Fake
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilRecordHasExpired_DatabaseTime_Real
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilRecordHasExpired_DatabaseTime_Fake
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilRecordHasExpired_LocalTime_Real
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilRecordHasExpired_LocalTime_Fake
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilCanceled_Real
Passed   WaitForUpdateOrExpiration_NonExpiredRecordExists_WaitsUntilCanceled_Fake
Passed   WaitForAnyUpdateOrAllExpiration_NonExpiredRecordExists_WaitsUntilRecordIsUpdated_Real
Passed   WaitForAnyUpdateOrAllExpiration_NonExpiredRecordExists_WaitsUntilRecordIsUpdated_Fake
Passed   WaitForAnyUpdateOrAllExpiration_NoRecordUpdated_WaitsUntilAllExpired_Real
Passed   WaitForAnyUpdateOrAllExpiration_NoRecordUpdated_WaitsUntilAllExpired_Fake
Passed   DeactivateAsync_RecordExistsAndBelongsToSameServer_RecordHasExpiredAfterDeactivation_Real
Passed   DeactivateAsync_RecordExistsAndBelongsToSameServer_RecordHasExpiredAfterDeactivation_Fake
Passed   DeactivateAsync_RecordExistsAndBelongsToOtherServer_RecordIsUnaffectedByDeactivation_Real
Passed   DeactivateAsync_RecordExistsAndBelongsToOtherServer_RecordIsUnaffectedByDeactivation_Fake
Passed   TryTakeOwnership_NoRecordExists_Succeeds_Real
Passed   TryTakeOwnership_NoRecordExists_Succeeds_Fake
Passed   TryTakeOwnership_RecordBelongingToLowerPriorityServer_OnlyFromLowerPrioServerIsTrue_Succeeds_Real
Passed   TryTakeOwnership_RecordBelongingToLowerPriorityServer_OnlyFromLowerPrioServerIsTrue_Succeeds_Fake
Passed   TryTakeOwnership_RecordBelongingToHigherPriorityServer_OnlyFromLowerPrioServerIsTrue_Fails_Real
