Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   DefaultConstructor_ShouldSetIsActivationRequestedToFalse
Passed   DefaultConstructor_ShouldSetIsDeactivationRequestedToTrue
Passed   DefaultConstructor_ShouldLeaveActivationWaitHandleUnsignalled
Passed   DefaultConstructor_ShouldLeaveDeactivationWaitHandleSignalled
Passed   RequestActivation_NoRequestPreviouslyMade_ShouldSetIsActivationRequestedToTrue
Passed   RequestActivation_RequestDeactivationPreviouslyMade_ShouldSetIsActivationRequestedToTrue
Passed   RequestActivation_NoPreviosRequest_ShouldSignalActivationWaitHandle
Passed   RequestActivation_DeactivationRequestPreviouslyMade_ShouldSignalActivationWaitHandleAndResetDeactivationWaitHandle
Passed   RequestDeactivation_NoPreviousRequestsMade_ShouldSetIsDeactivationRequestedToTrue
Passed   RequestDeactivation_PreviousActivationRequestsMade_ShouldSetIsDeactivationRequestedToTrue
Passed   RequestDeactivation_NoPreviosRequest_ShouldSignalDeactivationWaitHandle
Passed   RequestDeactivation_ActivationRequestPreviouslyMade_ShouldSignalDeactivationWaitHandleAndResetActivationWaitHandleSignalled
Passed   GenerateEvents_PeriodicTimer_SequenceOfCalls_CallsDelegateTheCorrectNumberOfTimesAndUpdatesLastFiredAccordingly
Passed   GenerateEvents_AbsoluteTimer_At0000ValidFrom0000ValidTo0200LastFiredNever_GeneratesEventsCorrectly
Passed   Start_NoOtherServerPartActive_OnActiveExecutionCalled
Passed   Deactivate_IsActivating_SetsDeactivationWaitHandle
Passed   Deactivate_IsActive_SetsDeactivationWaitHandle
Passed   Activate_IsInactive_SetsActivationWaitHandle
Passed   Deactivate_IsActive_SetsStatusInactive
Passed   Stop_IsInactive_TriggersCompletedEvent
Passed   Stop_IsActive_TriggersCompletedEvent
Passed   OnActiveExecution_ThrowsException_TriggersFaultedEvent
Passed   OnActiveExecution_Test
Passed   Activate_TryMaintainOwnershipCalledImmediatelyUponActivation
Passed   ActiveExecution_TheTimeForOwnershipMaintenancePasses_TryMaintainOwnershipCalledAgain
Passed   ActiveExecution_MaintainOwnershipTakesHalfTheINtervalTime_MaintainOwnershipCalledWhenTheIntervalTimeHasPassed
Passed   ActiveExecution_MaintainOwnershipTakesLongerThanTheIntervalTime_MaintainOwnershipCalledImmediatelyAgain
Passed   ActiveExecution_SeveralIntervalsPass_MaintainOwnershipCalledTheCorrectNumberOfTimes
Passed   Deactivate_OwnershipRecordIsReleased
Passed   Activate_FailsToGetMaintainOwnershipRecord_Deactivates
Passed   Activate_FailsToGetMaintainOwnershipRecordThroughException_Deactivates
Passed   AddWhm_ServersImplementingApplicationPools_AllApplicationPoolsImplementedAvailableInAvailableApplicationPools
Passed   AddWhm_ServerImplementingApplicationPoolWithNoWorkerProcesses_EmptyImplementationsAreNotVisibleInAvailableApplicationPools
Passed   RemoveWhm_AvailableServer_ApplicationPoolsImplementedOnlyByServerRemovedFromListOfAvailableApplicationPools
Passed   RemoveWhm_NonExistingServer_ReturnsFalse
