Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   IsBrowsableTest1
Passed   IsBrowsableTest2
Passed   IsBrowsableTest3
Passed   ImplementsTest1
Passed   GetPropertyDecoratedWithTest5
Passed   GetPropertyDecoratedWithTest4
Passed   GetPropertyDecoratedWithTest3
Passed   GetPropertiesDecoratedWithTest1
Passed   GetPropertiesDecoratedWithTest2
Passed   GetPropertiesDecoratedWithTest3
Passed   GetPropertiesDecoratedWithTest4
Passed   VerticesTest
Passed   VertexCountTest
Passed   EdgesTest
Passed   TryGetVertexTest
Passed   GetVertexTest
Passed   GetNonExistingVertexTest
Passed   RemoveVertexTest
Passed   RemoveNonExistingVertexTest
Passed   HasReferrersTest
Passed   HasRefereesTest
Passed   GetToplogicalOrderTest
Passed   GetReverseToplogicalOrderTest
Passed   GetDirectReferrersOfTest
Passed   GetDirectRefereesOfTest
Passed   GetAdjacentReferrersTest
Passed   GetAdjacentRefereesTest
Passed   ContainsDependencyTest
Passed   ClearTest
Passed   AddVertexFailureTest
Passed   GetSubgraphWithRefereesOfTest
Passed   GetSubgraphWithReferrersOfTest
Passed   RemoveVertexWithRefereesTest
Passed   RemoveDependencyTest
Passed   AddVertexWithReferrersFromTest
Passed   AddVertexWithRefereesFromTest
Passed   MappedProperty_GetCustomAttributesTest2
Passed   TryReplaceXamlTypeName_TypeNameExistsAsTypeArgument_ReplacementsAreMade
Passed   TryReplaceXamlTypeName_SearchStringNotFound_ReturnsFalse
Passed   Test
Passed   AddOrUpdateNodeAttributeValues_NormalExecutionAllArgumentsSet_Success
Passed   AddOrUpdateNodeAttributeValues_ExistingNodeAttributeOverwrite_Success
Passed   AddOrUpdateNodeAttributeValues_AddExistingAttributeToNode_Success
Passed   AddOrUpdateNodeAttributeValues_ExistingNodeAttributeTypeOptionGenerateError_ThrowsException
Passed   AddOrUpdateNodeAttributeValues_NonExistingNodeAttributeTypeOptionGenerateError_ThrowsException
Passed   AddOrUpdateNodeAttributeValues_NodeDoesNotExist_ThrowsException
Passed   Add_IEntity_ThrowsNotSupported
Passed   Update_IEntity_ThrowsNotSupported
Passed   Delete_IEntity_ThrowsNotSupported
Passed   Add_WrongEntityType_ThrowsArgumentException
Passed   Update_WrongEntityType_ThrowsArgumentException
Passed   Delete_WrongEntityType_ThrowsArgumentException
Passed   EntityReflectionType_InvokingGetFrom_InheritedInterfaceIsReturned
Passed   Merge_NullAndInstance_ReturnsNewInstance
Passed   Merge_InstanceAndNull_ReturnsNewInstance
Passed   Merge_NonNulls_ReturnsNewInstance
Passed   Merge_DifferentTypes_IsStillComposite
Passed   RuntimeParameter_Parse1
Passed   RuntimeParameter_NoParametersFromSeveralSQLCounts
Passed   RuntimeParameter_Roundtrip
Passed   SetValueIntegerOutputTest (Data Row 0)
Passed   SetValueIntegerOutputTest (Data Row 1)
Passed   SetValueIntegerOutputTest (Data Row 2)
Passed   SetValueIntegerOutputTest (Data Row 3)
