Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   SingleOperationFailed_StateIsMomentaryIssueDetected
Passed   MultipleOperationsFailedDuringProlongedTimeSpan_ProlongedIssueDetectedEmitted
Passed   MultipleOperationsFailed_OusideProlongedTimeThreshold_OnlyMomentaryIssueDetectedEmitted
Passed   OperationSucceeded_AfterOperationFailedButBeforeResolveTimeThresholdReached_StateIsMomentaryIssueDetected
Passed   OperationSucceeded_AfterOperationFailedAndAfterResolveTimeThreshold_StateIsNoIssueDetected
Passed   OperationSucceeded_AfterOperationFailedAndAfterResolveTimeThresholdWithRequiredConsecutiveSuccessesNotMet_StateIsMomentaryIssueDetected
Passed   OperationSucceeded_AfterOperationFailedAndAfterResolveTimeThresholdWithRequiredConsecutiveSuccessesMet_StateIsNoIssuesDetected
Passed   TwoConsecutiveOperationSucceeded_AfterProlongedIssueDetectedButBeforeResolutionTimeThresholdReached_StateBecomesNoIssuesDetectedOnlyAfterResolutionTimeHasPassed
Passed   ManyInterleavedOperationReports_CorrectStateSequenceIsReturned
Passed   ManyInterleavedOperationReportsWithSubscription_CorrectStateSequenceIsReturned
Passed   AddRef_NewObject_Returns1
Passed   AddRef_ObjectExistsWithRefCount1_Returns2
Passed   IncRef_ObjectDoesNotExistInWh_Returns0
Passed   IncRef_ObjectExistsInWh_Returns2
Passed   DelRef_ObjectDoesNotExistInWh_ReturnsMinus1
Passed   DelRef_ObjectExistsInWh_Returns0
Passed   DelRef_ObjectWithRefCount1_CallsDisposeOnObject
Passed   DelRef_ObjectWithRefCount1_Returns0
Passed   DelRef_ObjectWithRefCount2_DoesNotCallDisposeOnObject
Passed   DelRef_ObjectWithRefCount2_Returns1
Passed   DelRef_CalledTwiceOnObjectWithRefCount2_CallsDisposeOnObject
Passed   DelRef_CalledTwiceOnObjectWithRefCount2_Returns0
Passed   Dispose_SeveralObjectsInList_DisposeIsCalledOnAllObjects
Passed   DelRef_MultipleObjectsWithEqualHashCodesInList_CallsDisposeOnlyOnCorrectObject
Passed   AddRef_ObjectIsCollectedEvenIfItExistsInWarehouse
Passed   PurgeStaleReferences_DoesNotThrow
Passed   Constructor_NoStreamProvided_ArgumentNullExceptionRaised
Passed   Constructor_ClosedStreamProvided_ObjectDisposedExceptionRaised
Passed   Constructor_ValidStreamProvided_Succeeds
Passed   Seek_FromBeginForward_Succeeds
Passed   Seek_FromStartBeyondStart_IOExceptionRaised
Passed   Seek_FromStartBeyondEnd_Succeeds
Passed   Seek_FromCurrentForward_Succeeds
Passed   Seek_FromCurrentBackward_Succeeds
Passed   Seek_FromCurrentBackwardBeyondStart_IOExceptionRaised
Passed   Seek_FromCurrentForwardBeyondEnd_Succeeds
Passed   Seek_FromEndBackwards_Succeeds
Passed   Seek_FromEndBackwardsBeyondStart_IOExceptionRaised
Passed   Seek_FromEndBeyondEnd_IOExceptionRaised
Passed   SetLength_LengthIsNegativeValue_ArgumentOutOfRangeExceptionRaised
