Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   DefineCodePage_DefaultCodePage_NoException
Passed   DefineCodePage_WrongCodePageFormat_ThrowsException
Passed   ConvertStringWithCodepage_UnchangedCodePageAndStringIsAllASCIIChars_Success
Passed   ConvertStringWithCodepage_ChangeOneCharacterAndStringContainsChangedCharacter_Success
Passed   ConvertStringWithCodepage_ChangeOneSpecialCharacterAndStringContainsChangedCharacter_Success
Passed   ConvertStringWithCodepage_ChangeThreeCharacterAndStringContainsTwoChangedCharacter_Success
Passed   ConvertStringWithCodepage_UnchangedCodePageAndStringIsEmpty_Success
Passed   ConvertStringWithCodepage_UnchangedCodePageAndStringIsNull_Success
Passed   ConvertStringWithCodepage_IgnoreOneCharacterAndStringContainsIgnoredCharacter_Success
Passed   ConvertStringWithCodepage_IgnoreThreeCharacterAndStringContainsTwoIgnoredCharacter_Success
Passed   ConvertStringWithCodepage_AllCharacters_Succeeds
Passed   ConvertStringWithCodepage_StringContainsNonAnsiCharacters_CharactersAreStripped
Passed   ConvertStringWithCodepage_CodepageNotDefined_ReturnsInvalidOperationError
Passed   Init_ProvideValidInputs_SOKReturned
Passed   CreateEvent_ProvideValidInputs_DispatchWorkerCreateAsyncEventIsCalled
Passed   CreateEvent_ProvideValidInputs_DispatchWorkerCreateSyncEventIsCalled
Passed   CreateEvent_ProvideValidInputsWithoutEarliestExecutionTime_CreateSyncEventExecuteAsSoonAsPossibleIsCalled
Passed   CreateEvent_ProvideValidInputsWithoutEarliestExecutionTimeAsZero_CreateSyncEventExecuteAsSoonAsPossibleIsCalled
Passed   CreateEvent_ProvideInvalidEarliestExecutionTime_CreateSyncEventReturnsFailed
Passed   CreateEvent_ProvideNoDispatchWorker_FailedHresultIsReturned
Passed   CreateEventByName_NoInitIsCalled_FailedHresultIsReturned
Passed   CreateEventByName_ProvideValidInputs_GetIdByNameIsCalledOnEventTypeRepository
Passed   CreateEventByName_ProvideValidInputs_DispatchWorkerCreateSyncEventIsCalled
Passed   CreateEventByName_ProvideNonExistingEventTypeName_FailedHresultIsReturned
Passed   WriteLogToFileByNode_NoInit_FailedHresultReturned
Passed   WriteLogToFileByNode_InvalidNodeIdProvided_ReturnsSFalse
Passed   WriteLogToFileByNode_ValidInputProvided_LogEntryRepositoryIsCalled
Passed   WriteLogToFileByNode_ValidInputProvided_LogStreamerServiceIsCalled
Passed   WriteLogToFileByEvent_NoInit_FailedHresultReturned
Passed   WriteLogToFileByEvent_InvalidEventIdProvided_ReturnsSFalse
Passed   WriteLogToFileByEvent_ValidInputProvided_LogEntryRepositoryIsCalled
Passed   WriteLogToFileByEvent_ValidInputProvided_LogStreamerServiceIsCalled
Passed   WriteLogToFileByJob_NoInit_FailedHresultReturned
Passed   WriteLogToFileByJob_InvalidEventIdProvided_ReturnsSFalse
Passed   WriteLogToFileByJob_ValidInputProvided_LogEntryRepositoryIsCalled
Passed   WriteLogToFileByJob_ValidInputProvided_LogStreamerServiceIsCalled
