Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   IEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   ICategorizableEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   ICompilableEntity_Implemented_Verified
Passed   IAdapterFlow_Implemented_Verified
Passed   Test_BinarySerialization
Passed   Test_PublicSystemContext_GetInstanceOfEntity
Passed   IEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   IApplicationPoolImplementation_Implemented_Verified
Passed   Test_BinarySerialization
Passed   IEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   IApplicationPool_Implemented_Verified
Passed   ICategorizableEntity_Implemented_Verified
Passed   Test_BinarySerialization
Passed   Test_PublicSystemContext_GetInstanceOfEntity
Passed   IEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   ICategory_Implemented_Verified
Passed   ICategory_HasCorrectNumberOfMembers
Passed   PathType_ReturnsExpectedValue
Passed   Test_BinarySerialization
Passed   Test_PublicSystemContext_GetInstanceOfEntity
Passed   IEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   IComponentConfiguration_Implemented_Verified
Passed   IComponentConfiguration_TypeConversionToConfigurationIDValue_Verified
Passed   IComponentConfiguration_TypeConversionToUnsupportedType_Verified
Passed   IComponentConfiguration_ImplementedWithNullValues_Verified
Passed   ICategorizableEntity_Implemented_Verified
Passed   Test_BinarySerialization
Passed   Test_PublicSystemContext_GetInstanceOfEntity
Passed   IEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   ICounter_Implemented_Verified
Passed   ICounter_TypeConversionToCounterIDValue_Verified
Passed   ICounter_TypeConversionToUnsupportedType_Verified
Passed   ICategorizableEntity_Implemented_Verified
Passed   Test_PublicSystemContext_GetInstanceOfEntity
Passed   IEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   ICrossReferenceEntry_Implemented_Verified
Passed   Key1_ReturnsExpectedValue
Passed   Key2_ReturnsExpectedValue
Passed   Value1_ReturnsExpectedValue
Passed   Value2_ReturnsExpectedValue
Passed   ICrossReferenceEntry_HasCorrectNumberOfMembers
Passed   Test_BinarySerialization
Passed   IEntity_Implemented_Verified
Passed   IGuidKeyEntity_Implemented_Verified
Passed   INamedEntity_Implemented_Verified
Passed   IDescriptiveEntity_Implemented_Verified
Passed   ICrossReferenceTable_Implemented_Verified
Passed   ICategorizableEntity_Implemented_Verified
