Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   Constructor_NoSystemContextSupplied_Throws
Passed   Constructor_SystemContextSupplied_Success
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_CorrectValuesReturned
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_CorrectNumberOfArgumentsAdded
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_EventParamArgumentAddedToJob
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_NodeIdArgumentAddedToJob
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_InitParamArgumentAddedToJob
Passed   MapEventArgumentsToJobArguments_ArgumentsStandard_RunParamArgumentAddedToJob
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInMessageAndArgumentAreNull_Throws
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInMessage_InputArgumentsReturned
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInMessage_JobArgumentsNotInsertedIntoDB
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInDatabaseAndJobDoesNotExist_Throws
Passed   MapEventArgumentsToJobArguments_ArgsPreprocessedInDatabate_ValuesFromJobReturned
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInDatabase_ArgumentsFromDatabaseReturned
Passed   MapEventArgumentsToJobArguments_ArgumentsPrePocessedInDatabase_JobArgumentsNotInsertedIntoDB
Passed   PublicInstanceFactoryImplConstructorTest
Passed   CreateInstance_AllPublicCreateableTypes_Success
Passed   CreateInstance_NonValidType_Throws
Passed   Write_Stream_ShouldProduceCorrectCrc32Value
Passed   Write_Stream2_ShouldProduceCorrectCrc32Value
Passed   Read_Stream_ShouldProduceCorrectCrc32Value
Passed   Read_MultipleConsecutiveReads_ShouldProduceCorrectCrc32Value
Passed   Constructor_ThreeArguments_ShouldSetPropertiesCorrectly
Passed   ReadFrom_StreamWrittenTo_ShouldReturnEqualObject
Passed   Equals_EqualInstancesWithNoKnownServers_ShouldReturnTrue
Passed   Equals_DifferingSystsemId_ShouldReturnFalse
Passed   Equals_DifferingServerId_ShouldReturnFalse
Passed   Equals_DifferingSessionEventId_ShouldReturnFalse
Passed   Equals_DifferingNumberOfKnownServers_ShouldReturnFalse
Passed   Equals_DifferingKnownServers_ShouldReturnFalse
Passed   Equals_EqualKnownServers_ShouldReturnTrue
Passed   Equals_DifferentServerInstanceSessionId_ShouldReturnFalse
Passed   Constructor_ThreeArguments_ShouldSetPropertiesCorrectly
Passed   ReadFrom_BinaryReader_ShouldProduceEqualObject
Passed   Equals_NonEmptyEqualObjects_ShouldReturnTrue
Passed   Equals_DifferentServerIds_ShouldReturnFalse
Passed   Equals_DifferentImplementedParts_ShouldReturnFalse
Passed   Equals_DifferentVersions_ShouldReturnFalse
Passed   Constructor_ScanForFilesOnStartFindsFile_TimerIsNotStarted
Passed   Constructor_MultipleWatchTypes_ThrowsException
