Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   Constructor_CorrectArguments_Success
Passed   Constructor_ClientArgumentDoesNotImplementIFtpClientInterface_Throws
Passed   SendCommand_ValidArguments_ReturnsExpectedReply
Passed   SendCommand_ExpectedReturnCodesIsTwoValues_ReturnsExpectedReply
Passed   SendCommand_ExpectedReturnCodesIsNotSpecified_ReturnsExpectedReply
Passed   SendCommand_ExpectedRepliesIsNull_ReturnsExpectedReply
Passed   SendCommand_InvalidArguments_RetryThreeTimes
Passed   SendCommand_CancelledAfterFirstFail_RetryZeroTimes
Passed   SendCommand_ImplementationThrowsNonFtpException_RetryZeroTimes
Passed   Close_ObjectCreated_DisposesTraceListeners
Passed   SendCommand_NotConnected_Throws
Passed   Login_CorrectArguments_Success
Passed   Login_InvalidArguments_RetryThreeTimes
Passed   Close_CorrectArguments_Success
Passed   Close_InvalidArguments_RetryThreeTimes
Passed   DeleteFile_CorrectArguments_Success
Passed   DeleteFile_CorrectArgumentsAndNoFile_Success
Passed   DeleteFile_CorrectArgumentsAndNoFileAndErrorOnNoFileisTrue_ThrowsFtpException
Passed   DeleteFile_InvalidArguments_RetryThreeTimes
Passed   RenameFile_CorrectArguments_Success
Passed   RenameFile_CorrectArgumentsAndOverwriteIsTrue_Success
Passed   RenameFile_CorrectArgumentsAndOverwriteIsTrueAndNoFile_Success
Passed   RenameFile_InvalidArguments_RetryThreeTimes
Passed   ListDirectory_CorrectArguments_Success
Passed   ListDirectory_InvalidArguments_RetryThreeTimes
Passed   IsConnected_CorrectArguments_Success
Passed   Download_CorrectArguments_Success
Passed   Download_InvalidArguments_RetryTwoTimesAndThrowFtpException
Passed   Download_LostConnection_RetryOnceAndSuccess
Passed   Upload_NoExistingFileAndStoreTypeNone_ReturnsTrue
Passed   Upload_NoExistingFileAndStoreTypeNoneAndCheckFileSize_ReturnsTrue
Passed   Upload_ExistingFileAndStoreTypeNoneAndCheckFileSize_ReturnsTrue
Passed   Upload_NoExistingFileAndStoreTypeAppendAndCheckFileSize_ReturnsTrue
Passed   Upload_ExistingFileAndStoreTypeAppendAndCheckFileSize_ReturnsTrue
Passed   Upload_ExistingFileAndStoreTypeAppendAndCheckFileSizeWithFileInSubFolder_ReturnsTrue
Passed   Upload_ExistingFileAndStoreTypeAppendAndCheckFileSizeWrittenByOtherBeforeCheck_Throws
Passed   Upload_ExistingFileAndStoreTypeOverwriteAndCheckFileSizeWrittenByOtherBeforeCheck_Throws
Passed   Upload_InvalidArguments_RetryTwoTimesAndThrowFtpException
Passed   Upload_LostConnection_RetryOnceAndReturnsTrue
Passed   Upload_NoExistingFileAndStoreTypeSkipAndCheckFileSize_ReturnsTrue
Passed   Upload_ExistingFileAndStoreTypeSkipAndCheckFileSize_ReturnsFalse
Passed   Upload_ExistingFileAndStoreTypeSkipAndNoCheckFileSize_ReturnsFalse
Passed   Upload_NoExistingFileAndStoreTypeSkipAndNoCheckFileSize_ReturnsTrue
