Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   LoadFromStream_ValidData_Success
Passed   LoadFromStream_NotEnoughData_Throws
Passed   LoadFromStream_InvalidStrucId_Throws
Passed   LoadFromStream_InvalidVersion_Throws
Passed   LoadFromStream_InvalidStrucLength_Throws
Passed   LoadFromMessage_ValidData_Success
Passed   LoadFromMessage_NotEnoughData_Throws
Passed   LoadFromMessage_InvalidStrucId_Throws
Passed   LoadFromMessage_InvalidVersion_Throws
Passed   LoadFromMessage_InvalidStrucLength_Throws
Passed   Serialize_FormatLessThan8Chars_ReturnsExpected
Passed   Serialize_FormatMoreThan8Chars_ReturnsExpected
Passed   Serialize_NVDLengthNotMultipleOf4AndEncodingIs1208_ReturnsExpected
Passed   Serialize_NVDLengthNotMultipleOf4AndEncodingIs1200_ReturnsExpected
Passed   Serialize_NVDEncodingIs1208_ReturnsExpected
Passed   Serialize_NVDEncodingIs1200_ReturnsExpected
Passed   NameValueDataAdded_AffectsLength
Passed   NameValueDataAdded_CalledMultipleTimes_SerializeProducesExpectedBytes
Passed   NameValueDataAdded_NoAdds_AllFoldersStringEmpty
Passed   NameValueDataAdded_jmsAdded_AddedToCorrectFolder
Passed   NameValueDataAdded_pscAdded_AddedToCorrectFolder
Passed   NameValueDataAdded_pscrAdded_AddedToCorrectFolder
Passed   NameValueDataAdded_mcdAdded_AddedToCorrectFolder
Passed   NameValueDataAdded_usrAdded_AddedToCorrectFolder
Passed   NameValueDataAdded_otherAdded_AddedToCorrectFolder
Passed   Constructor_EncodingIsMultiByteOtherThanUTF8_Throws
Passed   Constructor_EncodingIsUTF8_NoError
Passed   LoadFromMessage_ValidData_Success
Passed   LoadFromMessage_NotEnoughData_Throws
Passed   LoadFromMessage_InvalidStrucId_Throws
Passed   LoadFromMessage_InvalidVersion_Throws
Passed   LoadFromMessage_InvalidStrucLength_Throws
Passed   LoadFromStream_ValidData_Success
Passed   LoadFromStream_NotEnoughData_Throws
Passed   LoadFromStream_InvalidStrucId_Throws
Passed   LoadFromStream_InvalidVersion_Throws
Passed   LoadFromStream_InvalidStrucLength_Throws
Passed   Serialize_FormatLessThan8Chars_ReturnsExpected
Passed   Serialize_FormatMoreThan8Chars_ReturnsExpected
Passed   NameValueData_NewValueSet_AffectsLength
Passed   Convert_SetThenUnsetWithOptionsSet_OptionsAreAlwaysSameAsBefore
Passed   WaitInterval_SetWithZeroAndOptionsHaveWait_WaitIsRemoved
Passed   WaitInterval_SetWithZeroAndOptionsHaveWait_AllOtherOptionsAreIntact
Passed   WaitInterval_SetWithPositiveValueAndOptionsDoesNotHaveWait_WaitIsAdded
Passed   SyncPoint_SettingSyncPoint_AllOtherOptionsAreIntact
Passed   CreateNewMsgId_SetUnsetWithOptionsSet_OptionsSameAsBefore
Passed   CreateNewCorrelId_SetUnsetWithOptionsSet_OptionsSameAsBefore
Passed   SyncPoint_SettingSyncPoint_AllOtherOptionsAreIntact
Passed   Deserialize_ValidV1Data_Success
