Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   Construction_ValidArgs_Success
Passed   Construction_PathIsEmpty_Throws
Passed   Construction_PathIsNull_Throws
Passed   Construction_CallbackIsNull_Throws
Passed   ParseXmlString_ParseCalledAgainFromCallback_Throws
Passed   ParseXmlString_MapDocumentDoesNotContainMapDocElment_Throws
Passed   ParseXmlString_ValidArgsNoMapProcedureCallbacks_Success
Passed   ParseXmlString_ValidArgs_StartAndEndElementIsCalled
Passed   ParseXmlString_CharactersOnParentElementOnly_OnCharactersIsInvoked
Passed   ParseXmlString_CharactersOnParentAndChild_OnCharactersIsInvoked
Passed   ParseXmlString_CharactersOnChildOnly_OnCharactersIsInvoked
Passed   ParseXmlString_UpdateElementValueIsFalse_ValueIsNotAvailableInCurrentElement
Passed   ParseXmlString_UpdateElementValueIsTrue_ValueIsAvailableInCurrentElement
Passed   ParseXmlDocument_ParseCalledAgainFromCallback_Throws
Passed   ParseXmlDocument_MapDocumentDoesNotContainMapDocElment_Throws
Passed   ParseXmlDocument_ValidArgsNoMapProcedureCallbacks_Success
Passed   ParseXmlDocument_ValidArgs_StartAndEndElementIsCalled
Passed   ParseXmlDocument_CharactersOnParentElementOnly_OnCharactersIsInvoked
Passed   ParseXmlDocument_CharactersOnParentAndChild_OnCharactersIsInvoked
Passed   ParseXmlDocument_CharactersOnChildOnly_OnCharactersIsInvoked
Passed   ParseXmlDocument_UpdateElementValueIsFalse_ValueIsNotAvailableInCurrentElement
Passed   ParseXmlDocument_UpdateElementValueIsTrue_ValueIsAvailableInCurrentElement
Passed   ParseUrl_ParseCalledAgainFromCallback_Throws
Passed   ParseUrl_MapDocumentDoesNotContainMapDocElment_Throws
Passed   ParseUrl_ValidArgsNoMapProcedureCallbacks_Success
Passed   ParseUrl_ValidArgs_StartAndEndElementIsCalled
Passed   ParseUrl_CharactersOnParentElementOnly_OnCharactersIsInvoked
Passed   ParseUrl_CharactersOnParentAndChild_OnCharactersIsInvoked
Passed   ParseUrl_CharactersOnChildOnly_OnCharactersIsInvoked
Passed   ParseUrl_UpdateElementValueIsFalse_ValueIsNotAvailableInCurrentElement
Passed   ParseUrl_UpdateElementValueIsTrue_ValueIsAvailableInCurrentElement
Passed   Occurence_NotRunning_Throws
Passed   Occurence_TwoCoccurencesBothPresentInInputXml_Success
Passed   Occurence_TooManyOccurencesInXmlInput_Throws
Passed   Repetition_NotRunning_Throws
Passed   Repetition_CallbackChecksRepetition_Success
Passed   ParseNnn_XmlIndataMissingMandatoryElement_Throws
Passed   ParseNnn_ParseAbortOkFromCallback_Throws
Passed   ParseNnn_ParseAbortFailCalledCallback_Throws
Passed   ParseNnn_ErrorOccursInCallback_Throws
Passed   ParseNnn_ExitScriptFailedFromCallback_Throws
Passed   ParseNnn_ExitScriptOkFromCallback_Throws
Passed   ParseNnn_ParseFails_OnErrorIsInvokedAndParseErrorSet
Passed   ParseNnn_MapElementNotPresentInSchemaMapDocument_Throws
