Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   WriteStreamDataToFile_CorrectParametersAndAllFalse_Success
Passed   WriteStreamDataToFile_RenameAndDeleteAreTrue_Success
Passed   WriteStreamDataToFile_RenameAndAppendAreTrueAndNoFile_Success
Passed   WriteStreamDataToFile_RenameAndAppendAreTrueAndFileExists_Success
Passed   WriteStreamDataToFile_DeleteAndAppendAreTrue_Success
Passed   WriteStreamDataToFile_DeleteIsTrue_Success
Passed   WriteStreamDataToFile_RenameIsTrue_Success
Passed   WriteStreamDataToFile_DataStreamIsNull_ThrowArgumentNullException
Passed   WriteStreamDataToFile_FilesystemExceptionOccurs_ThrowException
Passed   AddConversion_EmptyConverter_ConversionIsAdded
Passed   AddConversion_SameConversionIsAddedTwice_ConversionIsAdded
Passed   AddConversion_PreallocatedToOneAndTwoConversiosAreAdded_ConversionsAreAdded
Passed   Convert_EmptyConverter_AllCharactersAreStripped
Passed   Convert_ContainsConversions_NotAddedCharactersAreStripped
Passed   Convert_ContainsConversions_AddedCharactersAreConverted
Passed   Create_InvalidQueueName_ArgumentException
Passed   Create_PrivateQueueName_ArgumentException
Passed   Encode_ToMemoryStream_NoBOMWritten
Passed   Encode_ToMemoryStream_ReturnsCorrectReadAndWriteCounts
Passed   Encode_ToMemoryStream_CorrectBytesWrittenToStream
Passed   Encode_ValidInput_SourceStreamIsClosed
Passed   Encode_SourceStreamNotAtPosition0_EncodedFromCurrentPosition
Passed   Encode_LeaveOutputStreamOpen_DestinationStreamIsNotClosed
Passed   Encode_LeaveOutputStreamOpenAndWriteTwice_DataAppendedToOutputStream
Passed   Encode_LeaveOutputStreamOpen_SourceStreamIsClosed
Passed   Encode_DoNotLeaveOutputStreamOpen_DestinationStreamIsClosed
Passed   Encode_DoNotLeaveOutputStreamOpen_SourceStreamIsClosed
Passed   Encode_NullSourceStream_ThrowsArgumentNullException
Passed   Encode_NullDestinationStream_ThrowsArgumentNullException
Passed   Encode_ClosedSourceStream_ThrowsObjectDisposedException
Passed   Encode_ClosedDestinationStream_ThrowsArgumentException
Passed   Decode_ToMemoryStream_NoBOMWritten
Passed   Decode_ToMemoryStream_ReturnsCorrectReadAndWriteCounts
Passed   Decode_ToMemoryStream_CorrectBytesWrittenToStream
Passed   Decode_ValidInput_SourceStreamIsClosed
Passed   Decode_ValidInput_DestinationStreamIsClosed
Passed   Decode_SourceStreamNotAtPosition0_DecodedFromCurrentPosition
Passed   Decode_DestinationStreamNotAtPosition0_DataWrittenAtCurrentPosition
Passed   Decode_NullSourceStream_ThrowsArgumentNullException
Passed   Decode_NullDestinationStream_ThrowsArgumentNullException
Passed   Decode_ClosedSourceStream_ThrowsObjectDisposedException
Passed   Decode_ClosedDestinationStream_ThrowsObjectDisposedException
Passed   SendResponse_ValidArguments_CallsMessageQueueSendWithCorrectData
Passed   SendResponse_ValidArgumentsDataEnd_CallsMessageQueueSendWithCorrectData
