Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Passed   Invoke_NormalExecution_Success
Passed   Invoke_ConnectionIsDisposed_Success
Passed   Invoke_ConnectionIsNull_Success
Passed   Invoke_RequiredInArgumentIsMissing_UnhandledArgumentException
Passed   Invoke_SetAllArguments_ExpectedConfigurationReturned
Passed   Invoke_SetOnlyRequiredArguments_Success
Passed   Invoke_SetOnlyRequiredArguments_DefaultValuesAreCorrect
Passed   Invoke_RequiredArgumentServerDirectoryMissing_ThrowsArgumentException
Passed   Invoke_RequiredArgumentServerDirectoryIsEmpty_ThrowsArgumentException
Passed   Invoke_RequiredArgumentServerDirectoryIsNull_ThrowsArgumentException
Passed   Invoke_RequiredArgumentScanIntervalMissing_ThrowsArgumentException
Passed   Invoke_RequiredArgumentSettleTimeMissing_ThrowsArgumentException
Passed   Invoke_FilterIsNotAValidRegex_ThrowsArgumentException
Passed   Invoke_AllValidInputArguments_Succeeds
Passed   Invoke_RequiredValidInputArgumentsWithoutDefaultValues_CorrectDefaultsAreReturned
Passed   Invoke_RequiredArgumentServerIsMissing_ThrowsArgumentException
Passed   Invoke_RequiredArgumentUserIsMissing_ThrowsArgumentException
Passed   Invoke_ArgumentServerIsNull_ThrowsArgumentException
Passed   Invoke_ArgumentUserIsNull_ThrowsArgumentException
Passed   Invoke_AllowsNullCertificateValidationConfigurationWhenUseSSLIsFalse_Success
Passed   Invoke_AllowsNullCertificateValidationConfigurationWhenEnableValidationIsFalse_Success
Passed   Invoke_DoesNotAllowNullCertificateValidationConfigurationWhenEnableValidationAndUseSSLIsTrue_ThrowsArgumentException
Passed   Invoke_CertificateValidationConfigurationSetWhenEnableValidationAndUseSSLIsTrue_CertificateValidationConfigurationIsSetInResult
Passed   Invoke_CertificateValidationConfigurationSetWhenEnableValidationIsFalseAndUseSSLIsTrue_CertificateValidationConfigurationIsSetInResult
Passed   Invoke_CertificateValidationConfigurationSetWhenEnableValidationIsTrueAndUseSSLIsFalse_CertificateValidationConfigurationIsSetInResult
Passed   Invoke_CertificateValidationConfigurationSetWhenEnableValidationAndUseSSLIsFalse_CertificateValidationConfigurationIsSetInResult
Passed   Invoke_NormalExecution_Success
Passed   Invoke_NormalExecution_CorrectDefaultErrorArgument
Passed   Invoke_ConnectionIsMissing_ThrowsArgumentNullException
Passed   Invoke_FilenameIsNull_ThrowsArgumentException
Passed   Invoke_FilenameIsEmpty_ThrowsArgumentException
Passed   Invoke_ConnectionIsDisposed_ThrowsArgumentException
Passed   Invoke_NormalExecution_Success
Passed   Invoke_DownloadFileFails_Throws
Passed   Invoke_ConnectionIsNull_ThrowsArgumentNullException
Passed   Invoke_SourceFilenameIsEmpty_ThrowsArgumentNullException
Passed   Invoke_DestinationStreamIsNull_ThrowsArgumentNullException
Passed   Invoke_ConnectionArgumentIsMissing_ThrowsArgumentException
Passed   Invoke_SourceFilenameArgumentIsMissing_ThrowsArgumentException
