Microsoft (R) Test Execution Command Line Tool Version 14.0.25420.1
Copyright (c) Microsoft Corporation.  All rights reserved.

Starting test execution, please wait...
Skipped  CountArgs
Skipped  Invoke_SyncEventResumeUnknownBookmark_ActivityCanNotResume
Skipped  Invoke_SyncEvent_Success
Skipped  Invoke_InArgumentTimeoutIs25000Days_ThrowsException
Skipped  Invoke_AllInArguments_ExecutesGetNextFileActivity
Skipped  AddSubscription_InvokedTwice_FileSystemWatcherIsActivatedOnce
Skipped  RemoveBookmark_BookmarkIsAdded_ProviderDoDeactivateOnce
Skipped  RemoveBookmark_TwoBookmarksAddedInvokedOncePerBookmark_ProviderDoDeactivateOnce
Skipped  ErrorEventTriggered_BookmarkIsAdded_AddedBookmarkIsReceivedInEventHandler
Skipped  ErrorEventTriggered_BookmarkIsAdded_TestExceptionIsReceivedInEventHandler
Skipped  FileFoundEventTriggered_BookmarkIsAdded_AddedBookmarkIsReceivedInEventHandler
Skipped  FileFoundEventTriggered_BookmarkIsAdded_CorrectFileIsReceivedInEventHandler
Skipped  TimeoutEventTriggered_BookmarkIsAdded_AddedBookmarkIsReceivedInEventHandler
Skipped  TimeoutEventTriggered_BookmarkIsAdded_TimeoutExceptionIsReceivedInEventHandler
Skipped  EventTriggered_BookmarksAdded_AddedBookmarksAreReceivedAsFIFO
Skipped  EventTriggered_TwoBookmarksAdded_ProviderDoReactivate
Skipped  EventTriggered_OneBookmarkAdded_ProviderDoNotReactivate
Passed   Invoke_CapacityNotSet_DefaultValueIsZero
Passed   Invoke_CapacityNotSet_CorrectStreamTypeReturned
Passed   Invoke_CapacityNotSet_StreamIsReturned
Passed   Invoke_CapacitySet_ReturnStreamHasCorrectCapacity
Passed   Invoke_CapacityIsNegative_ArgumentOutOfRangeException
Passed   Invoke_PositiveOffsetOriginIsBegin_CorrectStreamPositionReturned
Passed   Invoke_NegativeOffsetOriginIsCurrent_CorrectStreamPositionReturned
Passed   Invoke_OffsetAfterStreamEnd_SuccessPositionIsLast
Passed   Invoke_OffsetBeforeStreamBeginning_ThrowsIOException
Passed   Invoke_RequiredArgumentsMissing_ThrowsArgumentException
Passed   Invoke_NonSeekableStream_ThrowsNotSupportedException
Passed   Invoke_ValidArgs_CorrectStringReturned
Passed   Invoke_ValidArgs_VerifyExecution
Passed   Invoke_ValidArgs_ReturnsCorrectNumberOfBytesRead
Passed   Invoke_ReadLessCharsThanStreamHas_CorrectStringReturned
Passed   Invoke_ReadCharsLessThanZero_ArgumentOutOfRangeException
Passed   Invoke_StreamIsNull_ArgumentNullException
Passed   Invoke_EncodingIsNull_ArgumentNullException
Passed   Invoke_HostCanceled_ActivityCanceled
Passed   Invoke_NormalExecution_Success
Passed   Invoke_RequiredInArgumentIsMissing_UnhandledArgumentException
Passed   Invoke_RequiredServiceIFileSystemServiceIsMissing_ThrowsActivationException
Passed   Invoke_BadFilename_UnhandledArgumentException
Passed   Invoke_DeleteFileFaults_ThrowsTestException
Passed   Invoke_DependencyThrowsOutOfMemoryException_ThrowsFatalException
Passed   Invoke_NormalExecution_Success
